"year","theme_id","theme_name","relative","n_items","source_name","target_name"
2009,53,Airport,son,40,"52-City","53-Airport"
2012,543,Series 8 Minifigures,son,19,"535-Collectible Minifigures","543-Series 8 Minifigures"
2006,114,Ferrari,son,37,"112-Racers","114-Ferrari"
1973,416,Construction,son,42,"411-Legoland","416-Construction"
2010,510,Serious Play,son,23,"507-Educational and Dacta","510-Serious Play"
2012,566,The Lord of the Rings,son,21,"561-The Hobbit and Lord of the Rings","566-The Lord of the Rings"
2017,253,Skylines,son,15,"252-Architecture","253-Skylines"
2012,739,Stationery and Office Supplies,son,357,"501-Gear","739-Stationery and Office Supplies"
2016,579,Disney Princess,son,100,"608-Disney","579-Disney Princess"
2017,503,Key Chain,son,707,"501-Gear","503-Key Chain"
2017,615,Cars,son,8,"591-Juniors","615-Cars"
2007,673,Creator Expert,son,67,"22-Creator","673-Creator Expert"
2017,739,Stationery and Office Supplies,son,357,"501-Gear","739-Stationery and Office Supplies"
2019,697,Batman,son,174,"695-Super Heroes DC","697-Batman"
2010,503,Key Chain,son,707,"501-Gear","503-Key Chain"
2020,63,Traffic,son,62,"52-City","63-Traffic"
2020,759,Story Books,son,241,"497-Books","759-Story Books"
2013,230,Halloween,son,31,"206-Seasonal","230-Halloween"
2012,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
1985,67,Classic Town,son,451,"50-Town","67-Classic Town"
1998,94,Town Jr.,son,40,"50-Town","94-Town Jr."
1999,87,Extreme Team,son,21,"50-Town","87-Extreme Team"
1966,371,Supplemental,son,531,"365-System","371-Supplemental"
1989,67,Classic Town,son,451,"50-Town","67-Classic Town"
1999,94,Town Jr.,son,40,"50-Town","94-Town Jr."
2007,631,Thomas & Friends,son,18,"504-Duplo","631-Thomas & Friends"
1985,456,Train,son,76,"443-Service Packs","456-Train"
2007,533,Town,son,36,"507-Educational and Dacta","533-Town"
2000,17,Speed Slammers,son,5,"1-Technic","17-Speed Slammers"
2020,692,Series 20 Minifigures,son,20,"535-Collectible Minifigures","692-Series 20 Minifigures"
1976,416,Construction,son,42,"411-Legoland","416-Construction"
1975,419,Harbor,son,3,"411-Legoland","419-Harbor"
2020,227,Christmas,son,199,"206-Seasonal","227-Christmas"
2021,503,Key Chain,son,707,"501-Gear","503-Key Chain"
2015,740,Storage,son,166,"501-Gear","740-Storage"
1990,517,Learning,son,9,"507-Educational and Dacta","517-Learning"
2014,740,Storage,son,166,"501-Gear","740-Storage"
2022,229,Easter,son,50,"206-Seasonal","229-Easter"
2012,733,Houseware,son,327,"501-Gear","733-Houseware"
2022,718,Series 22 Minifigures,son,16,"535-Collectible Minifigures","718-Series 22 Minifigures"
2022,579,Disney Princess,son,100,"608-Disney","579-Disney Princess"
2022,697,Batman,son,174,"695-Super Heroes DC","697-Batman"
2016,759,Story Books,son,241,"497-Books","759-Story Books"
2018,760,Activity Books,son,211,"497-Books","760-Activity Books"
2024,734,Magnets,son,124,"501-Gear","734-Magnets"
2001,673,Creator Expert,son,67,"22-Creator","673-Creator Expert"
2010,63,Traffic,son,62,"52-City","63-Traffic"
1972,413,Building,son,25,"411-Legoland","413-Building"
2011,35,Bricks & More,son,69,"34-Make & Create","35-Bricks & More"
2006,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2024,760,Activity Books,son,211,"497-Books","760-Activity Books"
2001,729,Airlines,son,17,"598-Promotional","729-Airlines"
