"year","theme_id","theme_name","relative","parent_theme_id","parent_theme_name"
2013,545,Series 10 Minifigures,son,535,Collectible Minifigures
1995,88,Launch Command,son,50,Town
1998,212,Classic Basic,son,207,Advent
2014,704,Guardians of the Galaxy,son,696,Super Heroes Marvel
1955,368,HO 1:87 Vehicles,son,365,System
1992,664,Toolo,son,504,Duplo
1989,139,Space Police I,son,126,Space
2012,410,Pick A Model,son,408,LEGO Brand Store
2003,510,Serious Play,son,507,Educational and Dacta
1998,526,Soft Bricks,son,507,Educational and Dacta
2011,538,Series 3 Minifigures,son,535,Collectible Minifigures
2016,556,Series 16 Minifigures,son,535,Collectible Minifigures
2013,573,Constraction,son,571,Legends of Chima
2014,579,Disney Princess,son,608,Disney
2016,595,Friends,son,591,Juniors
2018,655,Powered Up,son,438,Power Functions
2019,679,Mars Exploration,son,52,City
2004,53,Airport,son,52,City
1997,138,RoboForce,son,126,Space
1988,188,Black Knights,son,186,Castle
2000,197,Knights Kingdom I,son,186,Castle
2010,271,Prince of Persia,son,608,Disney
1972,421,Police,son,411,Legoland
1969,473,Supplemental,son,465,Universal Building Set
1976,511,Building Set with People,son,507,Educational and Dacta
1963,523,Samsonite,son,507,Educational and Dacta
1983,524,Service Packs,son,507,Educational and Dacta
2010,537,Series 2 Minifigures,son,535,Collectible Minifigures
2011,540,Series 5 Minifigures,son,535,Collectible Minifigures
2017,616,The LEGO Ninjago Movie,son,435,Ninjago
2012,640,Disney Princess,son,754,Disney
2012,736,Posters and Art Prints,son,501,Gear
2022,755,Spidey and His Amazing Friends,son,706,Spider-Man
1979,130,Classic Space,son,126,Space
1998,207,Advent,father,206,Seasonal
1977,471,Ferries,son,598,Promotional
2020,692,Series 20 Minifigures,son,535,Collectible Minifigures
2000,657,Action Wheelers,son,504,Duplo
1954,372,Town Plan,son,365,System
1977,456,Train,son,443,Service Packs
1978,632,Town,son,504,Duplo
2001,659,Dolls,son,504,Duplo
2015,639,Sofia the First,son,504,Duplo
1979,652,Playhouse,son,504,Duplo
2016,253,Skylines,son,252,Architecture
2004,306,Mission Deep Freeze,son,304,Alpha Team
2010,403,Villains,son,400,Hero Factory
2010,536,Series 1 Minifigures,son,535,Collectible Minifigures
2017,636,My Town,son,632,Town
2019,681,Series 19 Minifigures,son,535,Collectible Minifigures
2015,687,Frozen,son,608,Disney
2005,733,Houseware,son,501,Gear
1994,738,Seasonal,son,501,Gear
2000,18,Star Wars,son,1,Technic
1996,131,Exploriens,son,126,Space
2007,137,Mars Mission,son,126,Space
2012,156,Mini,son,155,Modular Buildings
1998,230,Halloween,son,206,Seasonal
1998,520,RCX,son,518,Mindstorms
1976,528,Supplemental,son,507,Educational and Dacta
2016,554,Series 15 Minifigures,son,535,Collectible Minifigures
1999,635,Winnie the Pooh,son,754,Disney
1997,732,Clocks and Watches,son,501,Gear
1987,132,Futuron,son,126,Space
2003,204,Designer Sets,son,22,Creator
1970,472,Gears,son,465,Universal Building Set
2018,620,Jurassic World: Fallen Kingdom,son,591,Juniors
2019,677,Disney Series 2,son,535,Collectible Minifigures
2023,745,Disney 100,son,535,Collectible Minifigures
2022,720,The Muppets,son,535,Collectible Minifigures
1998,92,Res-Q,son,50,Town
2005,208,City,son,207,Advent
1977,453,Technic,son,443,Service Packs
2002,706,Spider-Man,son,696,Super Heroes Marvel
1999,93,Space Port,son,50,Town
